Item Number,Product Line,Category,SubClass,Item Description,Price,Cost,Tangible?,Serial?,Tax?
1111670005,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID BLUE,4,19.99,True,False,True
1112670005,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING BLUE,4,19.99,True,False,True
1113670005,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER BLUE,4,19.99,True,False,True
1111670006,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID GREEN,4,19.99,True,False,True
1112670006,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING GREEN,4,19.99,True,False,True
1113670006,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER GREEN,4,19.99,True,False,True
1111670007,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID WHITE,4,19.99,True,False,True
1112670007,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING WHITE,4,19.99,True,False,True
1113670007,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER WHITE,4,19.99,True,False,True
1111670008,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID PINK,4,19.99,True,False,True
1112670008,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING PINK,4,19.99,True,False,True
1113670008,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER PINK,4,19.99,True,False,True
1111670009,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID PURPLE,4,19.99,True,False,True
1112670009,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING PURPLE,4,19.99,True,False,True
1113670009,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER PURPLE,4,19.99,True,False,True
1111670010,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID GOLD,4,19.99,True,False,True
1112670010,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING GOLD,4,19.99,True,False,True
1113670010,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER GOLD,4,19.99,True,False,True
1111670011,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID SILVER,4,19.99,True,False,True
1112670011,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING SILVER,4,19.99,True,False,True
1113670011,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER SILVER,4,19.99,True,False,True
1111670012,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID ROSE GOLD,4,19.99,True,False,True
1112670012,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING ROSE GOLD,4,19.99,True,False,True
1113670012,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER ROSE GOLD,4,19.99,True,False,True
1111670013,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - SOLID ORANGE,4,19.99,True,False,True
1112670013,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - BLING ORANGE,4,19.99,True,False,True
1113670013,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - GLITTER ORANGE,4,19.99,True,False,True
1114670001,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN MISC DESIGN,4,19.99,True,False,True
1114670002,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN SEASHELL,4,19.99,True,False,True
1114670003,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN CAMO,4,19.99,True,False,True
1114670004,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN BUTTERFLIES,4,19.99,True,False,True
1114670005,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN FLOWERS,4,19.99,True,False,True
1114670006,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN FEATHERS,4,19.99,True,False,True
1114670007,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN MARBLE OR STONE,4,19.99,True,False,True
1114670008,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN HEARTS OR KISSES,4,19.99,True,False,True
1114670009,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN CANDY OR FOOD,4,19.99,True,False,True
1114670010,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN ANIMALS,4,19.99,True,False,True
1114670011,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN SHAPES,4,19.99,True,False,True
1114670012,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN SPORTS,4,19.99,True,False,True
1114670013,ACCESSORY,PROTECTIVE,SILICONE,APPLE IPHONE X SILICONE - DESIGN PLAID,4,19.99,True,False,True
1121670001,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID MISC COLOR,5,24.99,True,False,True
1122670001,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING MISC COLOR,5,24.99,True,False,True
1123670001,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER MISC COLOR,5,24.99,True,False,True
1121670002,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID BLACK,5,24.99,True,False,True
1122670002,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING BLACK,5,24.99,True,False,True
1123670002,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER BLACK,5,24.99,True,False,True
1121670003,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID GRAY,5,24.99,True,False,True
1122670003,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING GRAY,5,24.99,True,False,True
1123670003,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER GRAY,5,24.99,True,False,True
1121670004,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID RED,5,24.99,True,False,True
1122670004,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING RED,5,24.99,True,False,True
1123670004,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER RED,5,24.99,True,False,True
1121670005,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID BLUE,5,24.99,True,False,True
1122670005,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING BLUE,5,24.99,True,False,True
1123670005,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER BLUE,5,24.99,True,False,True
1121670006,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID GREEN,5,24.99,True,False,True
1122670006,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING GREEN,5,24.99,True,False,True
1123670006,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER GREEN,5,24.99,True,False,True
1121670007,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID WHITE,5,24.99,True,False,True
1122670007,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING WHITE,5,24.99,True,False,True
1123670007,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER WHITE,5,24.99,True,False,True
1121670008,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID PINK,5,24.99,True,False,True
1122670008,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING PINK,5,24.99,True,False,True
1123670008,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER PINK,5,24.99,True,False,True
1121670009,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID PURPLE,5,24.99,True,False,True
1122670009,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING PURPLE,5,24.99,True,False,True
1123670009,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER PURPLE,5,24.99,True,False,True
